id;x;y;type;capacity;cost
0;16.9240146156931;51.136968994631886;existing_shelter;517.0;0.0
1;17.0465629820728;51.1056246306043;existing_shelter;197.0;0.0
2;17.0742127006288;51.1316960030849;existing_shelter;127.0;0.0
3;17.0783131276616;51.1322969248169;existing_shelter;40.0;0.0
4;17.1072791410178;51.132312788980094;existing_shelter;137.0;0.0
5;17.0557693285195;51.1207388572667;existing_shelter;40.0;0.0
6;17.0354909999997;51.0933484999991;existing_shelter;55.0;0.0
7;17.0377035999997;51.0929436999991;existing_shelter;55.0;0.0
8;17.0110413999997;51.0817146999991;existing_shelter;61.0;0.0
9;17.0112999999997;51.0813838999991;existing_shelter;60.0;0.0
10;17.0078628999997;51.088868399999114;existing_shelter;88.0;0.0
11;17.0188934999997;51.0861996999991;existing_shelter;134.0;0.0
12;16.9901982867113;51.1425514477969;existing_shelter;138.0;0.0
13;17.0544260447167;51.1221854347373;existing_shelter;56.0;0.0
14;17.0312919214575;51.1117559491807;existing_shelter;83.0;0.0
15;17.0308976234081;51.108764876196496;existing_shelter;66.0;0.0
16;17.0337461293832;51.1087853699498;existing_shelter;107.0;0.0
17;17.0333202448829;51.1115783877259;existing_shelter;24.0;0.0
18;17.0313748051558;51.1092982166956;existing_shelter;32.0;0.0
19;17.0332991224869;51.1087774909608;existing_shelter;99.0;0.0
20;17.0329792690617;51.1102124727844;existing_shelter;37.0;0.0
21;17.032194848045;51.1107932666807;existing_shelter;50.0;0.0
22;17.0317896390801;51.1108816476066;existing_shelter;52.0;0.0
23;17.0321774747151;51.1104685315275;existing_shelter;70.0;0.0
24;17.0086148367303;51.0870645479704;existing_shelter;65.0;0.0
25;17.0073319864493;51.0873848624003;existing_shelter;139.0;0.0
26;17.0063261580683;51.0876742895169;existing_shelter;65.0;0.0
27;17.0323384707901;51.1103951210722;existing_shelter;63.0;0.0
28;17.0235140812978;51.1046398949794;existing_shelter;91.0;0.0
29;17.024264101148;51.1041910774907;existing_shelter;91.0;0.0
30;17.0235446999997;51.1046581999991;existing_shelter;42.0;0.0
31;17.0235446999997;51.1046581999991;existing_shelter;96.0;0.0
32;17.0225519999997;51.1034630999991;existing_shelter;63.0;0.0
33;17.0235446999997;51.1046581999991;existing_shelter;81.0;0.0
34;17.0226846999997;51.1049800999991;existing_shelter;120.0;0.0
35;17.0226602999997;51.1049619999991;existing_shelter;80.0;0.0
36;17.0064894999997;51.0884600999991;existing_shelter;53.0;0.0
37;17.0253493999997;51.1026823999991;existing_shelter;76.0;0.0
38;17.0249790999997;51.103100399999114;existing_shelter;61.0;0.0
39;17.0301254999997;51.1020211999991;existing_shelter;88.0;0.0
40;17.0299083999997;51.1017306999991;existing_shelter;74.0;0.0
41;17.0295051999997;51.1022134999991;existing_shelter;160.0;0.0
42;17.0291248999997;51.1018376999991;existing_shelter;90.0;0.0
43;17.0327982999997;51.1058033999991;existing_shelter;115.0;0.0
44;17.0368744999997;51.1051746999991;existing_shelter;63.0;0.0
45;17.0338368674851;51.103759574129086;existing_shelter;110.0;0.0
46;17.0351400923047;51.1035421978556;existing_shelter;106.0;0.0
47;17.0350846518389;51.1033571294281;existing_shelter;113.0;0.0
48;17.0380073999997;51.1037547999991;existing_shelter;112.0;0.0
49;17.0391466999997;51.1058180999991;existing_shelter;102.0;0.0
50;17.0540698976508;51.1243272205462;existing_shelter;90.0;0.0
51;17.0334321999997;51.1036934999991;existing_shelter;87.0;0.0
52;17.0539677222511;51.1242014631657;existing_shelter;92.0;0.0
53;17.0537491222163;51.1237486596795;existing_shelter;118.0;0.0
54;17.0235466999997;51.1050050999991;existing_shelter;86.0;0.0
55;17.0532783107149;51.1230680910512;existing_shelter;145.0;0.0
56;17.0529623967842;51.1223960300546;existing_shelter;116.0;0.0
57;17.0232262999997;51.1048530999991;existing_shelter;54.0;0.0
58;17.0229601731587;51.105549284825486;existing_shelter;64.0;0.0
59;17.0322064575889;51.1024586256139;existing_shelter;84.0;0.0
60;17.0342644662755;51.0931394872824;existing_shelter;59.0;0.0
61;17.0343321082342;51.0924080531543;existing_shelter;82.0;0.0
62;17.0344526400019;51.090821484611695;existing_shelter;82.0;0.0
63;17.0196549766789;51.0821646703778;existing_shelter;64.0;0.0
64;17.0136454926169;51.0863972091517;existing_shelter;57.0;0.0
65;17.0059334659045;51.0885753021988;existing_shelter;101.0;0.0
66;16.8932609282163;51.1509242432469;existing_shelter;324.0;0.0
67;17.0145385791615;51.0861602663464;existing_shelter;90.0;0.0
68;17.0339341156833;51.1017797362912;existing_shelter;70.0;0.0
69;16.9655445949014;51.0786995762394;existing_shelter;70.0;0.0
70;17.0352252144337;51.1002650913522;existing_shelter;75.0;0.0
71;17.0382756021735;51.101994131175886;existing_shelter;74.0;0.0
72;17.0375875556085;51.1054806369848;existing_shelter;63.0;0.0
73;17.0113120493532;51.1043391475008;existing_shelter;102.0;0.0
74;17.030688914019;51.1188088219715;existing_shelter;104.0;0.0
75;17.0655872193471;51.1091314587319;existing_shelter;50.0;0.0
76;17.0677287148984;51.1085198192536;existing_shelter;54.0;0.0
77;17.0943197966992;51.1133654933019;existing_shelter;81.0;0.0
78;17.1064807647404;51.0990241826973;existing_shelter;60.0;0.0
79;17.1067416095672;51.1000971082133;existing_shelter;65.0;0.0
80;17.1035144930256;51.108522555375686;existing_shelter;44.0;0.0
81;17.013072081382;51.1194400680807;existing_shelter;87.0;0.0
82;17.0248155744693;51.1036815518784;existing_shelter;62.0;0.0
83;17.0343680665988;51.102184621199115;existing_shelter;36.0;0.0
84;17.0342182118088;51.101506176859885;existing_shelter;89.0;0.0
85;17.0290421520352;51.1092287193724;existing_shelter;169.0;0.0
86;17.0338452872978;51.1108480725022;existing_shelter;57.0;0.0
87;17.0321346246787;51.118219914435485;existing_shelter;45.0;0.0
88;17.034560582739;51.0937193746899;existing_shelter;55.0;0.0
89;17.0050118405868;51.1132176104151;existing_shelter;3474.0;0.0
90;17.0002781447155;51.1645750313034;existing_shelter;308.0;0.0
91;17.0129306786752;51.1048079498872;existing_shelter;118.0;0.0
92;16.8775209610734;51.1438007915614;existing_shelter;56.0;0.0
93;17.097481275565;51.1273630430467;existing_shelter;133.0;0.0
94;16.9655056190516;51.140591926472496;existing_shelter;120.0;0.0
95;16.9551429883368;51.1305611353044;existing_shelter;114.0;0.0
96;17.0277648113061;51.111541881347286;existing_shelter;419.0;0.0
97;17.0377383641536;51.1246533920331;existing_shelter;65.0;0.0
98;17.0369878154346;51.1094225598873;existing_shelter;52.0;0.0
99;17.0060414072351;51.0707392052159;existing_shelter;249.0;0.0
100;17.0356857855971;51.1127033648606;existing_shelter;193.0;0.0
101;16.9913987878544;51.11175946966221;existing_shelter;119.0;0.0
102;16.9911632193988;51.106575269268;existing_shelter;144.0;0.0
103;17.0394230746951;51.124774285018496;existing_shelter;120.0;0.0
104;16.9535219999997;51.1303474999991;existing_shelter;237.0;0.0
105;17.0373511297997;51.0963715551217;existing_shelter;357.0;0.0
106;16.9845767819113;51.0978338234811;existing_shelter;133.0;0.0
107;16.9855050662652;51.0972235016655;existing_shelter;81.0;0.0
108;17.013550806459;51.0913831864284;existing_shelter;100.0;0.0
109;17.0582076241527;51.1043455156824;existing_shelter;97.0;0.0
110;17.0164862820024;51.0880955639705;existing_shelter;109.0;0.0
111;17.0223440588556;51.0765427449143;existing_shelter;194.0;0.0
112;17.0264197359762;51.090121262718895;existing_shelter;200.0;0.0
113;17.0444612999997;51.1083014999991;existing_shelter;106.0;0.0
114;17.07788168;51.05853743;existing_shelter;333.0;0.0
115;17.0777005962203;51.058893956689694;existing_shelter;667.0;0.0
116;17.0777511;51.0593776;existing_shelter;667.0;0.0
117;17.0774092;51.0596004;existing_shelter;667.0;0.0
118;17.07653051;51.06017448;existing_shelter;467.0;0.0
119;17.0764671;51.0599911;existing_shelter;667.0;0.0
120;17.0760266;51.0608634;existing_shelter;667.0;0.0
121;17.076728;51.059533;existing_shelter;800.0;0.0
122;17.0774301;51.0589081;existing_shelter;667.0;0.0
123;17.0776809;51.05845262;existing_shelter;467.0;0.0
124;17.07791209;51.05902983;existing_shelter;333.0;0.0
125;17.0750591;51.06207;existing_shelter;300.0;0.0
126;17.0610927;51.0566978;existing_shelter;300.0;0.0
127;16.8600760537817;51.148778451853296;existing_shelter;226.0;0.0
128;16.9839038041903;51.080089102576714;existing_shelter;308.0;0.0
129;17.044470271582;51.088657612488;existing_shelter;40.0;0.0
130;17.0380418763415;51.0922797465815;existing_shelter;38.0;0.0
131;17.0347073296741;51.090201583338;existing_shelter;80.0;0.0
132;17.0135361296183;51.0871054510576;existing_shelter;52.0;0.0
133;17.0186997853187;51.0821883159732;existing_shelter;42.0;0.0
134;17.0192016517645;51.082121592021686;existing_shelter;43.0;0.0
135;17.1038891151815;51.1220499165288;existing_shelter;33.0;0.0
136;17.1039019884092;51.1220396754609;existing_shelter;10.0;0.0
137;17.1052337051853;51.1233159802927;existing_shelter;23.0;0.0
138;17.0248182584939;51.10263981138;existing_shelter;97.0;0.0
139;17.0258594575713;51.102538548764;existing_shelter;65.0;0.0
140;17.0263338142119;51.1023465470171;existing_shelter;58.0;0.0
141;17.0258988690831;51.1020426403328;existing_shelter;63.0;0.0
142;17.0261541358508;51.1019518285088;existing_shelter;61.0;0.0
143;17.0470881914008;51.1202771121836;existing_shelter;50.0;0.0
144;17.0419160542275;51.1163936040878;existing_shelter;35.0;0.0
145;17.0326470104199;51.116219145413694;existing_shelter;27.0;0.0
146;17.0300849140762;51.116864701086094;existing_shelter;41.0;0.0
147;17.0254528901749;51.115903895087;existing_shelter;780.0;0.0
148;17.0517849159362;51.122636923594;existing_shelter;46.0;0.0
149;17.0515768395458;51.122704985359;existing_shelter;46.0;0.0
150;17.0513851093488;51.122765524118;existing_shelter;53.0;0.0
151;17.08637;51.103504;new_shelter;100.0;2.0
152;17.082551;51.100217;new_shelter;100.0;2.0
153;17.09949;51.10039;new_shelter;100.0;4.0
154;17.059;51.10059;new_shelter;100.0;6.0
155;17.07949;51.10019;new_shelter;100.0;8.0
156;17.027826310102544;51.05807158316387;new_shelter;140.0;10.0
157;17.0057780813415;51.09366343366862;new_shelter;199.0;3.0
158;17.02972752251132;51.07387679740288;new_shelter;449.0;3.0
159;17.05839533174918;51.077102366162215;new_shelter;100.0;4.0
160;17.08421790595865;51.118421264217446;new_shelter;50.0;1.0
161;17.071007430471685;51.125701126069934;new_shelter;200.0;10.0
162;17.023716258604306;51.13798077078051;new_shelter;200.0;2.0
163;17.014300991689257;51.050793363066056;new_shelter;1000.0;3.0
164;17.0219785;51.0492249;residental;0.0;0.0
165;17.032953;51.066307;residental;0.0;0.0
166;17.0634065;51.0620563;residental;0.0;0.0
167;16.9766352;51.0618473;residental;0.0;0.0
168;17.0208583;51.048806;residental;0.0;0.0
169;17.0099086;51.056017;residental;0.0;0.0
170;17.0255631;51.0468334;residental;0.0;0.0
171;17.0017749;51.068533;residental;0.0;0.0
172;17.0096695;51.0697592;residental;0.0;0.0
173;17.031691;51.063739;residental;0.0;0.0
174;17.0411908;51.0621601;residental;0.0;0.0
175;17.0020389;51.0665215;residental;0.0;0.0
176;17.036598;51.0675405;residental;0.0;0.0
177;17.0001585;51.0666341;residental;0.0;0.0
178;17.012415;51.0499384;residental;0.0;0.0
179;17.0217105;51.049905;residental;0.0;0.0
180;17.005564;51.0604743;residental;0.0;0.0
181;17.0291045;51.0524655;residental;0.0;0.0
182;17.0420636;51.0625783;residental;0.0;0.0
183;17.0074234;51.0700465;residental;0.0;0.0
184;17.0515706;51.0489064;residental;0.0;0.0
185;17.022668;51.05187;residental;0.0;0.0
186;17.035112;51.0677775;residental;0.0;0.0
187;17.0318758;51.0506872;residental;0.0;0.0
188;17.0390144;51.0586694;residental;0.0;0.0
189;17.0132145;51.0673335;residental;0.0;0.0
190;17.08038;51.061785;residental;0.0;0.0
191;17.0012533;51.0687638;residental;0.0;0.0
192;17.06355;51.0617545;residental;0.0;0.0
193;17.0291205;51.0595285;residental;0.0;0.0
194;17.0341845;51.0537874;residental;0.0;0.0
195;17.088771;51.0476335;residental;0.0;0.0
196;17.0357901;51.0643936;residental;0.0;0.0
197;17.0575069;51.0574752;residental;0.0;0.0
198;17.0060636;51.0687152;residental;0.0;0.0
199;16.9962887;51.0650529;residental;0.0;0.0
200;17.0366296;51.0653351;residental;0.0;0.0
201;17.03712;51.0616952;residental;0.0;0.0
202;17.0280185;51.059761;residental;0.0;0.0
203;17.034275;51.0697475;residental;0.0;0.0
204;17.020497;51.0504995;residental;0.0;0.0
205;17.0213771;51.0487659;residental;0.0;0.0
206;17.0138069;51.0691367;residental;0.0;0.0
207;17.0825449;51.0660617;residental;0.0;0.0
208;17.0069181;51.0609633;residental;0.0;0.0
209;17.0174395;51.0584765;residental;0.0;0.0
210;17.0363275;51.0609643;residental;0.0;0.0
211;16.995851;51.0650143;residental;0.0;0.0
212;16.9769456;51.0615658;residental;0.0;0.0
213;17.036905;51.0693745;residental;0.0;0.0
214;17.0077648;51.0588962;residental;0.0;0.0
215;17.077273;51.063894;residental;0.0;0.0
216;17.030137;51.0645685;residental;0.0;0.0
217;17.0003209;51.0682358;residental;0.0;0.0
218;17.0525395;51.047461;residental;0.0;0.0
219;17.0195476;51.0489842;residental;0.0;0.0
220;17.033404;51.058357;residental;0.0;0.0
221;17.03182;51.0658915;residental;0.0;0.0
222;17.0064502;51.0697168;residental;0.0;0.0
223;17.034371;51.067679;residental;0.0;0.0
224;17.0084195;51.0628737;residental;0.0;0.0
225;17.0096846;51.0553115;residental;0.0;0.0
226;17.0136353;51.0688218;residental;0.0;0.0
227;17.0522135;51.0468611;residental;0.0;0.0
228;17.030737;51.0658905;residental;0.0;0.0
229;17.0192781;51.0649965;residental;0.0;0.0
230;17.0802905;51.0692455;residental;0.0;0.0
231;17.088054;51.055758;residental;0.0;0.0
232;17.0274585;51.0494941;residental;0.0;0.0
233;17.0210495;51.049262;residental;0.0;0.0
234;17.0078764;51.0662573;residental;0.0;0.0
235;17.0128368;51.069431;residental;0.0;0.0
236;16.9945492;51.0649389;residental;0.0;0.0
237;17.0129087;51.0685927;residental;0.0;0.0
238;17.064601;51.0636405;residental;0.0;0.0
239;17.0055949;51.061012;residental;0.0;0.0
240;17.024338;51.0610665;residental;0.0;0.0
241;17.0849612;51.0623819;residental;0.0;0.0
242;17.031761;51.0639215;residental;0.0;0.0
243;16.9981104;51.0686854;residental;0.0;0.0
244;17.0014137;51.0660826;residental;0.0;0.0
245;17.029248;51.0618395;residental;0.0;0.0
246;17.023918;51.0564965;residental;0.0;0.0
247;17.0373505;51.0630435;residental;0.0;0.0
248;16.9954112;51.0655162;residental;0.0;0.0
249;17.0058984;51.0654259;residental;0.0;0.0
250;17.0226521;51.051315;residental;0.0;0.0
251;17.0594721;51.0625639;residental;0.0;0.0
252;17.0178275;51.0584225;residental;0.0;0.0
253;17.0251042;51.0551404;residental;0.0;0.0
254;17.0293715;51.051672;residental;0.0;0.0
255;17.0205885;51.04945;residental;0.0;0.0
256;17.0335995;51.067301;residental;0.0;0.0
257;17.0254238;51.0463963;residental;0.0;0.0
258;16.9977159;51.0649902;residental;0.0;0.0
259;16.9961058;51.063392;residental;0.0;0.0
260;17.0349917;51.0648326;residental;0.0;0.0
261;17.057783;51.0490901;residental;0.0;0.0
262;17.0349417;51.065197;residental;0.0;0.0
263;17.057813;51.0486963;residental;0.0;0.0
264;17.0194921;51.0587648;residental;0.0;0.0
265;17.02891;51.059146;residental;0.0;0.0
266;17.0306035;51.06353;residental;0.0;0.0
267;17.0250996;51.0621703;residental;0.0;0.0
268;17.0282765;51.063093;residental;0.0;0.0
269;17.020524;51.049183;residental;0.0;0.0
270;17.022025;51.049444;residental;0.0;0.0
271;16.9773589;51.062224;residental;0.0;0.0
272;17.006191;51.0696236;residental;0.0;0.0
273;17.0231481;51.0604675;residental;0.0;0.0
274;17.0790445;51.0681697;residental;0.0;0.0
275;17.0324615;51.06789;residental;0.0;0.0
276;17.0358674;51.0648429;residental;0.0;0.0
277;17.0352442;51.0648642;residental;0.0;0.0
278;17.0056157;51.0670387;residental;0.0;0.0
279;17.0357195;51.0625985;residental;0.0;0.0
280;17.0133275;51.0675714;residental;0.0;0.0
281;17.0306195;51.0645695;residental;0.0;0.0
282;16.9929283;51.0648528;residental;0.0;0.0
283;17.007691;51.0556694;residental;0.0;0.0
284;17.0595115;51.0593885;residental;0.0;0.0
285;17.0646024;51.0508407;residental;0.0;0.0
286;17.0618213;51.051616;residental;0.0;0.0
287;17.080438;51.0690945;residental;0.0;0.0
288;17.0366238;51.0618184;residental;0.0;0.0
289;17.057606;51.0477639;residental;0.0;0.0
