@id;building;name;@lat;@lon
100734663;residential;;51.0647040;17.0302145
100734699;residential;;51.0543470;17.0276025
100734751;residential;;51.0657495;17.0126349
100734780;residential;;51.0633635;17.0786635
100734863;residential;;51.0698825;17.0801820
100734871;residential;;51.0587480;17.0231415
100734930;residential;;51.0516675;17.0239070
100734970;residential;;51.0507030;17.0200990
100735008;residential;;51.0584000;17.0587365
100735012;residential;;51.0559405;17.0288175
100735043;residential;;51.0515560;17.0303510
100735055;residential;;51.0474176;17.0518641
100735162;residential;;51.0608590;17.0562455
100735192;residential;;51.0636564;17.0743055
100735253;residential;;51.0653570;17.0318790
100735307;residential;;51.0546035;17.0206725
100735316;residential;;51.0624449;17.0288016
100735369;residential;;51.0689635;17.0384390
100735392;residential;;51.0683130;17.0405645
100735441;residential;;51.0700410;17.0492875
100735509;residential;;51.0686685;17.0404465
100735568;residential;;51.0592890;17.0613685
100735646;residential;;51.0679905;17.0360950
100735802;residential;;51.0651145;17.0297880
100735838;residential;;51.0651235;17.0307930
100735907;residential;;51.0624380;17.0762220
100736086;residential;;51.0644525;17.0318330
100736102;residential;;51.0544580;17.0185825
100736171;residential;;51.0492905;17.0196405
100736283;residential;;51.0583485;17.0182190
100736397;residential;;51.0631735;17.0770945
100736401;residential;;51.0644540;17.0314845
100736485;residential;;51.0544180;17.0215305
100736539;residential;;51.0536775;17.0218330
100736782;residential;;51.0678115;17.0382005
100736803;residential;;51.0665721;17.0954225
100736819;residential;;51.0586900;17.0269685
100736835;residential;;51.0679305;17.0338740
100736843;residential;;51.0634220;17.0315930
100736849;residential;;51.0581445;17.0321215
100736939;residential;;51.0668810;17.0325265
100736974;residential;;51.0466148;17.0254937
100737024;residential;;51.0556340;17.0239075
100737236;residential;;51.0515020;17.0299715
100737353;residential;;51.0655445;16.9782935
100737626;residential;;51.0644065;17.0305355
100737674;residential;;51.0586360;17.0225190
100737682;residential;;51.0601770;17.0282605
100737689;residential;;51.0506240;17.0123520
100737741;residential;;51.0668240;17.0306385
100737758;residential;;51.0472850;17.0886980
100737796;residential;;51.0528623;17.0273905
100737897;residential;;51.0680635;17.0324580
100737918;residential;;51.0583555;17.0331470
100737948;residential;;51.0467039;17.0527271
100737998;residential;;51.0662380;17.0299980
100738000;residential;;51.0549740;17.0308215
100738018;residential;;51.0581080;17.0576755
100738127;residential;;51.0700250;17.0486645
100738131;residential;;51.0622365;17.0638730
100738159;residential;;51.0606095;17.0568120
100738164;residential;;51.0678600;17.0379300
100738193;residential;;51.0635495;17.0291005
